ForingNE,NForingNE,ForingSW,NForingSW,MotspillNE,NMotspillNE,MotspillSW,NMotspillSW,AntallPar,Ar,Maned,Dato,Turnering
6,4,8,12,3,5,2,3,9,2019,3,18,Melhus BK
6,5,-1,5,-6,9,-1,5,9,2019,3,11,Melhus BK
7,9,-2,2,-3,6,2,10,10,2019,2,25,Melhus BK
2,2,-3,11,0,7,-2,5,10,2019,2,4,Melhus BK
5,6,9,7,-2,8,8,6,9,2019,1,28,Melhus BK
-10,9,9,6,-3,6,0,6,10,2019,1,21,Melhus BK
-6,6,-6,5,-1,8,4,8,10,2019,1,14,Melhus BK
-4,6,6,9,-3,2,9,7,9,2018,12,10,Melhus BK
11,6,4,6,4,8,2,3,9,2018,12,3,Melhus BK
-1,4,9,6,-2,6,-7,8,9,2018,11,19,Melhus BK
-4,9,4,5,1,9,-4,7,8,2018,11,12,Melhus BK
-7,11,0,5,0,3,0,5,9,2018,11,5,Melhus BK
3,6,6,8,0,5,-3,5,9,2018,10,29,Melhus BK
6,4,-2,7,6,7,1,6,9,2018,10,22,Melhus BK
7,3,5,4,7,6,12,8,11,2018,10,15,Melhus BK
-6,4,1,5,-3,8,8,7,11,2018,10,8,Melhus BK
3,2,5,6,-2,3,0,13,9,2018,10,1,Melhus BK
0,7,7,9,2,3,-9,5,9,2018,9,24,Melhus BK
-11,10,2,5,2,5,3,4,9,2018,9,17,Melhus BK
-9,7,-2,3,0,5,7,9,10,2018,7,30,Sommerbridge Melhus BK
8,5,11,6,20,10,-3,6,12,2018,7,31,Sommerbridge Berkåk BK
25,10,0,8,3,4,-9,4,12,2018,8,2,Sommerbridge Ski BK
15,7,11,3,8,9,-2,5,18,2018,6,7,Sommerbridge Nettbuss
-32,24,74,25,99,26,31,21,104,2018,8,7, NM Monrad Par
37,17,12,11,-26,18,-13,14,32,2018,3,28,Påskecup Berkåk BK
-10,11,9,12,-1,12,2,7,8,2018,3,17,Vårcup
8,9,0,9,2,9,-5,15,15,2017,9,30,Høsttreff Mostadmark BK
-31,14,1,17,71,16,-14,13,56,2017,4,29,Trondheimscup
2,7,1,6,-3,6,2,5,9,2017,4,27,Lundamo BK
-5,4,0,6,-4,6,7,8,9,2017,4,20,Lundamo BK
-9,7,7,8,10,7,-7,6,8,2017,4,6,Lundamo BK
5,5,6,8,8,8,-2,3,11,2017,3,23,Lundamo BK
-8,5,3,5,-2,8,-1,6,9,2017,3,16,Lundamo BK
3,4,-2,8,4,8,-6,6,10,2017,3,9,Lundamo BK
0,6,-5,5,4,8,6,7,11,2017,3,2,Lundamo BK
8,7,2,6,12,6,0,4,11,2017,2,16,Lundamo BK
2,4,1,11,0,4,1,5,9,2017,2,9,Lundamo BK
3,7,0,5,-2,7,12,8,10,2017,2,2,Lundamo BK
6,10,12,9,3,3,7,5,12,2017,1,26,Lundamo BK
-2,3,-4,6,7,6,-5,9,9,2017,1,19,Lundamo BK
15,7,3,5,-4,6,0,6,9,2017,1,12,Lundamo BK
2,7,0,8,10,7,-9,5,10,2017,1,5,Lundamo BK
-2,7,6,7,-2,5,10,9,8,2016,12,1,Lundamo BK
-1,6,-8,9,-1,2,2,10,10,2016,11,17,Lundamo BK
-6,2,5,9,-1,4,6,9,9,2016,11,9,Lundamo BK
6,4,16,14,-5,4,2,6,8,2016,11,2,Lundamo BK
-10,6,17,7,-5,10,-6,5,8,2016,10,27,Lundamo BK
-3,5,3,3,-3,10,0,6,7,2016,10,13,Lundamo BK
-5,3,3,8,2,4,-8,9,9,2016,10,6,Lundamo BK
-4,8,-2,2,-2,10,-3,3,7,2016,9,29,Lundamo BK
-4,7,-1,5,0,8,-4,4,7,2016,9,22,Lundamo BK
7,6,1,8,1,5,-3,5,9,2016,9,15,Lundamo BK
-2,2,-3,5,-1,8,0,9,7,2016,4,21,Lundamo BK
0,5,-5,9,2,2,-6,8,9,2016,4,14,Lundamo BK
1,6,7,9,3,7,-1,6,8,2016,4,7,Lundamo BK
0,8,8,7,-6,6,4,6,10,2016,3,31,Lundamo BK
-1,6,2,9,1,6,2,3,9,2016,3,17,Lundamo BK
0,3,0,6,1,8,-5,7,9,2016,3,10,Lundamo BK
-7,4,10,11,-2,4,-18,8,10,2016,3,3,Lundamo BK
-10,2,15,9,16,9,1,7,12,2016,2,25,Lundamo BK
18,9,6,6,-6,6,2,5,10,2016,2,18,Lundamo BK
-3,6,-10,9,3,5,1,4,11,2016,2,11,Lundamo BK
5,4,0,6,5,11,-1,3,9,2016,2,4,Lundamo BK
-1,6,2,5,-5,8,7,5,11,2016,1,28,Lundamo BK
-3,6,15,7,-3,4,-3,7,11,2016,1,14,Lundamo BK
5,5,4,9,14,7,-6,6,10,2016,1,7,Lundamo BK
-2,4,11,6,-10,8,-19,6,13,2015,12,10,Lundamo BK
9,8,10,7,14,3,3,9,12,2015,12,3,Lundamo BK
4,7,9,5,-7,8,9,7,10,2015,11,26,Lundamo BK
-2,3,6,8,-1,7,3,6,9,2015,11,19,Lundamo BK
2,5,9,10,-6,8,1,5,10,2015,11,12,Lundamo BK
8,6,3,10,16,5,-7,6,10,2015,10,22,Lundamo BK
6,3,3,10,-4,5,-1,10,8,2015,10,15,Lundamo BK
-10,7,9,6,2,8,9,7,8,2015,10,8,Lundamo BK
0,5,5,6,7,8,2,5,7,2015,9,24,Lundamo BK
-8,8,3,7,-3,5,-3,5,6,2015,9,17,Lundamo BK
38,15,12,20,-6,15,32,13,35,2014,4,16,Påskecup Berkåk BK
-32,10,4,8,26,10,-4,10,17,2019,3,23,Vårcup
-8,7,7,7,3,2,-1,5,11,2019,3,25,Melhus BK
1,5,-4,6,-7,7,3,3,11,2019,4,1,Melhus BK
4,6,13,3,16.4,7,5,8,16,2019,6,6,Sommerbridge Nettbuss
